player_id,player_name,country,played_international,ipl_time_span,no_of_ipl_matches,bowling_style,batting_style,player_role
620,YV Dhull,,,2023-2023,4,,,
621,Yudhvir Singh,,,2023-2024,5,,,
622,Atharva Taide,,,,,,,
623,Liton Das,,,,,,,
624,PD Salt,,,2024-2024,12,,,
625,Vijaykumar Vyshak,,,,,,,
626,Abdul Basith,,,2023-2023,1,,,
627,Arjun Tendulkar,,,,,,,
628,JP Behrendorff,,,2019-2023,17,,,
629,AJ Hosein,,,2023-2023,1,,,
630,Naveen-ul-Haq,,,2023-2024,18,,,
631,Noor Ahmad,,,2023-2024,23,,,
632,JE Root,,,2023-2023,3,,,
633,KM Asif,,,2023-2023,4,,,
634,MD Shanaka,,,2023-2023,3,,,
635,Sanvir Singh,,,2023-2024,6,,,
636,Vivrant Sharma,,,2023-2023,3,,,
637,DG Nalkande,,,2022-2024,6,,,
638,R Ravindra,,,2024-2024,10,,,
639,SD Hope,,,2024-2024,9,,,
640,Sumit Kumar,,,2024-2024,4,,,
641,Azmatullah Omarzai,,,2024-2024,7,,,
642,Naman Dhir,,,2024-2024,7,,,
643,G Coetzee,,,2024-2024,10,,,
644,SZ Mulani,,,2024-2024,2,,,
645,Sameer Rizvi,,,2024-2024,8,,,
646,SH Johnson,,,2024-2024,5,,,
647,Akash Madhwal,,,,,,,
648,SB Dubey,,,2024-2024,4,,,
649,Mayank Dagar,,,,,,,
650,RJW Topley,,,2023-2024,5,,,
651,A Raghuvanshi,,,2024-2024,10,,,
652,Ashutosh Sharma,,,,,,,
653,Nithish Kumar Reddy,,,,,,,
654,Saurav Chauhan,,,,,,,
655,Kumar Kushagra,,,,,,,
656,BR Sharath,,,2024-2024,1,,,
657,WG Jacks,,,2024-2024,8,,,
658,J Fraser-McGurk,,,2024-2024,9,,,
659,Tanush Kotian,,,,,,,
660,KA Maharaj,,,2024-2024,2,,,
661,Arshad Khan (2),,,,,,,
662,R Sai Kishore,,,2022-2024,10,,,
663,L Wood,,,2024-2024,2,,,
664,LB Williams,,,2024-2024,2,,,
665,AA Kulkarni,,,2024-2024,2,,,
666,MJ Suthar,,,2024-2024,1,,,
667,RJ Gleeson,,,2024-2024,2,,,
668,Gulbadin Naib,,,2024-2024,2,,,
669,D Ferreira,,,2024-2024,2,,,
670,A Kamboj,,,2024-2024,3,,,
671,T Kohler-Cadmore,,,2024-2024,4,,,
672,Shivam Singh,,,2024-2024,1,,,
673,V Viyaskanth,,,2024-2024,3,,,
674,P Amarnath,,,2008-2008,6,,,
675,B Geeves,,,2008-2008,2,,,
676,Gagandeep Singh,,,2008-2008,4,,,
677,A Nel,,,2008-2008,1,,,
678,AM Salvi,,,2009-2011,7,,,
679,RR Bose,,,2009-2009,1,,,
680,SS Sarkar,,,2009-2009,2,,,
681,RA Shaikh,,,2009-2009,1,,,
682,C Ganapathy,,,2010-2010,1,,,
683,MB Parmar,,,2010-2010,1,,,
684,AA Kazi,,,2011-2011,1,,,
685,Anand Rajan,,,2013-2013,2,,,
686,P Prasanth,,,2011-2011,1,,,
687,SS Mundhe,,,2011-2011,1,,,
688,RW Price,,,2011-2011,1,,,
689,TP Sudhindra,,,2012-2012,3,,,
690,BW Hilfenhaus,,,2012-2014,17,,,
691,P Suyal,,,2013-2015,5,,,
692,MG Neser,,,2013-2013,1,,,
693,K Santokie,,,2014-2014,2,,,
694,JW Hastings,,,2016-2016,2,,,
695,GS Sandhu,,,2015-2015,3,,,
696,SM Boland,,,2016-2016,2,,,
697,Tejas Baroka,,,2017-2017,1,,,
698,SS Agarwal,,,2017-2017,1,,,
699,NB Singh,,,2017-2017,2,,,
700,MJ Henry,,,2024-2024,4,,,
701,K Khejroliya,,,2018-2019,5,,,
702,L Ngidi,,,2018-2021,14,,,
703,CJ Dala,,,2018-2018,1,,,
704,SC Kuggeleijn,,,2019-2019,2,,,
705,S Midhun,,,2019-2019,1,,,
706,O Thomas,,,2019-2019,4,,,
707,S Sandeep Warrier,,,2019-2021,5,,,
708,CJ Green,,,2020-2020,1,,,
709,Monu Kumar,,,2020-2020,1,,,
710,LI Meriwala,,,2021-2021,1,,,
711,Jalaj S Saxena,,,2021-2021,1,,,
712,Akash Singh,,,2021-2021,1,,,
713,IC Porel,,,2021-2021,1,,,
714,PH Solanki,,,2022-2022,2,,,
715,M Pathirana,,,2022-2024,20,,,
716,J Little,,,,,,,
717,RS Hangargekar,,,2023-2023,2,,,
718,NA Saini,,,2019-2021,28,,,
719,Yash Thakur,,,2023-2024,19,,,
720,Suyash Sharma,,,2023-2024,13,,,
721,SSB Magala,,,2023-2023,2,,,
722,D Jansen,,,2023-2023,1,,,
723,Gurnoor Brar,,,2023-2023,1,,,
724,R Goyal,,,2023-2023,1,,,
725,H Sharma,,,2023-2024,2,,,
726,N Burger,,,2024-2024,6,,,
727,KT Maphaka,,,2024-2024,2,,,
728,M Siddharth,,,2024-2024,3,,,
729,MP Yadav,,,2024-2024,4,,,
730,S Joseph,,,2024-2024,1,,,
731,N Thushara,,,2024-2024,7,,,
732,V Kaverappa,,,2024-2024,1,,,
