Player,Link
Lalit Yadav,/cricketers/lalit-yadav-930189
UT Yadav,/cricketers/umesh-yadav-376116
Yuvraj Singh,/cricketers/yuvraj-singh-36084
AD Nath,/cricketers/akshdeep-nath-500360
SS Agarwal,/cricketers/shubham-agarwal-1079668
Ankit Soni,/cricketers/ankit-soni-1083128
Basil Thampi,/cricketers/basil-thampi-732291
ER Dwivedi,/cricketers/eklavya-dwivedi-340841
JP Faulkner,/cricketers/james-faulkner-270484
Ishan Kishan,/cricketers/ishan-kishan-720471
S Kaushik,/cricketers/shivil-kaushik-917213
DS Kulkarni,/cricketers/dhawal-kulkarni-277955
P Kumar,/cricketers/praveen-kumar-30732
MM Patel,/cricketers/munaf-patel-32965
NB Singh,/cricketers/nathu-singh-853259
PV Tambe,/cricketers/pravin-tambe-587152
Tejas Baroka,/cricketers/tejas-baroka-1082859
AJ Tye,/cricketers/andrew-tye-459508
Azmatullah Omarzai,/cricketers/azmatullah-omarzai-819429
LH Ferguson,/cricketers/lockie-ferguson-493773
SH Johnson,/cricketers/spencer-johnson-1123718
AS Joseph,/cricketers/alzarri-joseph-670031
Kartik Tyagi,/cricketers/kartik-tyagi-1122918
JB Little,/cricketers/josh-little-928067
A Manohar,/cricketers/abhinav-manohar-778963
DA Miller,/cricketers/david-miller-321777
DG Nalkande,/cricketers/darshan-nalkande-1111917
Noor Ahmad,/cricketers/noor-ahmad-1182529
HH Pandya,/cricketers/hardik-pandya-625371
Rashid Khan,/cricketers/rashid-khan-793463
B Sai Sudharsan,/cricketers/sai-sudharsan-1151288
R Sai Kishore,/cricketers/sai-kishore-1048739
S Sandeep Warrier,/cricketers/sandeep-warrier-592735
M Shahrukh Khan,/cricketers/m-shahrukh-khan-719719
MD Shanaka,/cricketers/dasun-shanaka-437316
BR Sharath,/cricketers/br-sharath-917231
Shubman Gill,/cricketers/shubman-gill-1070173
MJ Suthar,/cricketers/manav-suthar-1175426
KS Williamson,/cricketers/kane-williamson-277906
Yash Dayal,/cricketers/yash-dayal-1159720
KJ Abbott,/cricketers/kyle-abbott-297583
YA Abdulla,/cricketers/yusuf-abdulla-224367
L Ablish,/cricketers/love-ablish-26236
FA Allen,/cricketers/fabian-allen-670013
HM Amla,/cricketers/hashim-amla-43906
Anureet Singh,/cricketers/anureet-singh-376324
VG Arora,/cricketers/vaibhav-arora-1209292
Arshdeep Singh,/cricketers/arshdeep-singh-1125976
M Ashwin,/cricketers/murugan-ashwin-528067
P Awana,/cricketers/parvinder-awana-323131
Azhar Mahmood,/cricketers/azhar-mahmood-39024
JM Bairstow,/cricketers/jonny-bairstow-297433
AB Barath,/cricketers/adrian-barath-274926
RA Bawa,/cricketers/raj-bawa-1292502
F Behardien,/cricketers/farhaan-behardien-44410
BA Bhatt,/cricketers/bhargav-bhatt-433410
Bipul Sharma,/cricketers/bipul-sharma-35928
MS Bisla,/cricketers/manvinder-bisla-27280
RS Bopara,/cricketers/ravi-bopara-10582
RR Bose,/cricketers/ranadeb-bose-27572
KC Cariappa,/cricketers/kc-cariappa-777537
RD Chahar,/cricketers/rahul-chahar-1064812
SD Chitnis,/cricketers/siddharth-chitnis-337916
SS Cottrell,/cricketers/sheldon-cottrell-495551
P Dharmani,/cricketers/pankaj-dharmani-28067
R Dhawan,/cricketers/rishi-dhawan-290727
P Dogra,/cricketers/paras-dogra-28160
NT Ellis,/cricketers/nathan-ellis-826915
Gagandeep Singh,/cricketers/gagandeep-singh-28758
CH Gayle,/cricketers/chris-gayle-51880
K Goel,/cricketers/karan-goel-28997
K Gowtham,/cricketers/krishnappa-gowtham-424377
MJ Guptill,/cricketers/martin-guptill-226492
Gurkeerat Singh,/cricketers/gurkeerat-singh-mann-537124
Gurnoor Brar,/cricketers/gurnoor-brar-1287033
Harpreet Brar,/cricketers/harpreet-brar-1168641
Harpreet Singh,/cricketers/harpreet-singh-340854
BE Hendricks,/cricketers/beuran-hendricks-379927
MJ Henry,/cricketers/matt-henry-506612
DJ Hooda,/cricketers/deepak-hooda-497121
MG Johnson,/cricketers/mitchell-johnson-6033
M Kaif,/cricketers/mohammad-kaif-29990
Karanveer Singh,/cricketers/karanveer-singh-322535
M Kartik,/cricketers/murali-kartik-30049
SM Katich,/cricketers/simon-katich-6128
U Kaul,/cricketers/uday-kaul-30235
V Kaverappa,/cricketers/vidwath-kaverappa-1155262
T Kohli,/cricketers/taruwar-kohli-331855
B Lee,/cricketers/brett-lee-6278
LS Livingstone,/cricketers/liam-livingstone-403902
R McLaren,/cricketers/ryan-mclaren-46393
DJ Malan,/cricketers/dawid-malan-236489
VS Malik,/cricketers/vikramjeet-malik-31738
PN Mankad,/cricketers/prerak-mankad-956871
AK Markram,/cricketers/aiden-markram-600498
SE Marsh,/cricketers/shaun-marsh-6683
AD Mascarenhas,/cricketers/dimitri-mascarenhas-16932
RP Meredith,/cricketers/riley-meredith-961713
Mohit Rathee,/cricketers/mohit-rathee-1349361
EJG Morgan,/cricketers/eoin-morgan-24598
WA Mota,/cricketers/wilkin-mota-31041
Mujeeb Ur Rahman,/cricketers/mujeeb-ur-rahman-974109
NS Naik,/cricketers/nikhil-naik-554700
T Natarajan,/cricketers/t-natarajan-802575
AM Nayar,/cricketers/abhishek-nayar-32091
MG Neser,/cricketers/michael-neser-376169
LA Pomersbach,/cricketers/luke-pomersbach-232284
N Pooran,/cricketers/nicholas-pooran-604302
IC Porel,/cricketers/ishan-porel-967603
RR Powar,/cricketers/ramesh-powar-32391
Prabhsimran Singh,/cricketers/prabhsimran-singh-1161024
CA Pujara,/cricketers/cheteshwar-pujara-32540
KL Rahul,/cricketers/kl-rahul-422108
PBB Rajapaksa,/cricketers/bhanuka-rajapaksa-342619
AU Rashid,/cricketers/adil-rashid-244497
Ravi Bishnoi,/cricketers/ravi-bishnoi-1175441
NJ Rimmington,/cricketers/nathan-rimmington-7443
P Sahu,/cricketers/pardeep-sahu-34155
N Saini,/cricketers/nitin-saini-274785
Sandeep Sharma,/cricketers/sandeep-sharma-438362
RR Sarwan,/cricketers/ramnaresh-sarwan-52969
R Sathish,/cricketers/rajagopal-sathish-33870
Jalaj S Saxena,/cricketers/jalaj-saxena-237199
AR Sharma,/cricketers/ashutosh-sharma-1131978
JM Sharma,/cricketers/jitesh-sharma-721867
Shashank Singh,/cricketers/shashank-singh-377534
Shivam Sharma,/cricketers/shivam-sharma-717201
Shivam Singh,/cricketers/shivam-singh-1380113
MW Short,/cricketers/matthew-short-605575
Sikandar Raza,/cricketers/sikandar-raza-299572
VRV Singh,/cricketers/vikram-singh-35281
OF Smith,/cricketers/odean-smith-820691
RS Sodhi,/cricketers/reetinder-sodhi-34078
BB Sran,/cricketers/barinder-sran-537126
S Sreesanth,/cricketers/sreesanth-34274
SJ Srivastava,/cricketers/shalabh-srivastava-34245
TM Srivastava,/cricketers/tanmay-srivastava-35401
Sunny Singh,/cricketers/sunny-singh-35282
Swapnil Singh,/cricketers/swapnil-singh-232292
A Taide,/cricketers/atharva-taide-1125958
PC Valthaty,/cricketers/paul-valthaty-35630
CV Varun,/cricketers/varun-chakravarthy-1108375
GC Viljoen,/cricketers/hardus-viljoen-375126
M Vohra,/cricketers/manan-vohra-532856
B Akhil,/cricketers/balachandra-akhil-26206
Y Gnaneswara Rao,/cricketers/gnaneswara-rao-28830
RV Gomez,/cricketers/raiphi-gomez-28846
BJ Hodge,/cricketers/brad-hodge-5674
M Klinger,/cricketers/michael-klinger-6161
P Parameswaran,/cricketers/prasanth-parameswaran-279562
P Prasanth,/cricketers/padmanabhan-prasanth-32211
OA Shah,/cricketers/owais-shah-20123
R Vinay Kumar,/cricketers/vinay-kumar-35731
T Banton,/cricketers/tom-banton-877051
SE Bond,/cricketers/shane-bond-36326
MV Boucher,/cricketers/mark-boucher-44111
DM Bravo,/cricketers/darren-bravo-277472
PVD Chameera,/cricketers/dushmantha-chameera-552152
A Chopra,/cricketers/aakash-chopra-27639
DB Das,/cricketers/debabrata-das-328163
C de Grandhomme,/cricketers/colin-de-grandhomme-55395
M de Lange,/cricketers/marchant-de-lange-393279
JL Denly,/cricketers/joe-denly-12454
SC Ganguly,/cricketers/sourav-ganguly-28779
RS Gavaskar,/cricketers/rohan-gavaskar-28792
AN Ghosh,/cricketers/arindam-ghosh-220435
SP Goswami,/cricketers/shreevats-goswami-302579
CJ Green,/cricketers/chris-green-787073
HF Gurney,/cricketers/harry-gurney-244639
BJ Haddin,/cricketers/brad-haddin-5560
Harshit Rana,/cricketers/harshit-rana-1312645
GB Hogg,/cricketers/brad-hogg-5681
B Indrajith,/cricketers/baba-indrajith-477069
Iqbal Abdulla,/cricketers/iqbal-abdulla-277237
VR Iyer,/cricketers/venkatesh-iyer-851403
SP Jackson,/cricketers/sheldon-jackson-237696
JH Kallis,/cricketers/jacques-kallis-45789
K Khejroliya,/cricketers/kulwant-khejroliya-1083033
CK Langeveldt,/cricketers/charl-langeveldt-45963
Litton Das,/cricketers/litton-das-536936
Mashrafe Mortaza,/cricketers/mashrafe-mortaza-56007
BAW Mendis,/cricketers/ajantha-mendis-268739
Mohammad Hafeez,/cricketers/mohammad-hafeez-41434
SP Narine,/cricketers/sunil-narine-230558
S Narwal,/cricketers/sumit-narwal-32084
MB Parmar,/cricketers/mohnish-parmar-240734
YK Pathan,/cricketers/yusuf-pathan-32498
RT Ponting,/cricketers/ricky-ponting-7133
M Prasidh Krishna,/cricketers/prasidh-krishna-917159
Y Prithvi Raj,/cricketers/prithvi-raj-1121579
A Raghuvanshi,/cricketers/angkrish-raghuvanshi-1292495
Rahmanullah Gurbaz,/cricketers/rahmanullah-gurbaz-974087
Ramandeep Singh,/cricketers/ramandeep-singh-1079470
N Rana,/cricketers/nitish-rana-604527
AS Roy,/cricketers/anukul-roy-1079839
Salman Butt,/cricketers/salman-butt-42683
SS Sarkar,/cricketers/sourav-sarkar-34402
JPR Scantlebury-Searles,/cricketers/javon-searles-230554
SMSM Senanayake,/cricketers/sachithra-senanayake-273439
SS Shaikh,/cricketers/shoaib-shaikh-377437
Shakib Al Hasan,/cricketers/shakib-al-hasan-56143
Shivam Mavi,/cricketers/shivam-mavi-1079848
Shoaib Akhtar,/cricketers/shoaib-akhtar-42655
RK Singh,/cricketers/rinku-singh-723105
MA Starc,/cricketers/mitchell-starc-311592
Suyash Sharma,/cricketers/suyash-sharma-1350792
T Taibu,/cricketers/tatenda-taibu-55805
RN ten Doeschate,/cricketers/ryan-ten-doeschate-47660
A Tomar,/cricketers/abhijeet-tomar-1081183
RA Tripathi,/cricketers/rahul-tripathi-446763
Umar Gul,/cricketers/umar-gul-43524
MN van Wyk,/cricketers/morne-van-wyk-47711
D Wiese,/cricketers/david-wiese-221140
SA Yadav,/cricketers/suryakumar-yadav-446507
Yashpal Singh,/cricketers/yashpal-singh-36130
Arshad Khan,/cricketers/arshad-khan-1244751
A Badoni,/cricketers/ayush-badoni-1151270
S Joseph,/cricketers/shamar-joseph-1356971
AA Kulkarni,/cricketers/arshin-kulkarni-1403153
E Lewis,/cricketers/evin-lewis-431901
KR Mayers,/cricketers/kyle-mayers-348056
Mohsin Khan,/cricketers/mohsin-khan-1132005
Naveen-ul-Haq,/cricketers/naveen-ul-haq-793447
D Padikkal,/cricketers/devdutt-padikkal-1119026
KH Pandya,/cricketers/krunal-pandya-471342
KS Sharma,/cricketers/karan-sharma-1246518
R Shepherd,/cricketers/romario-shepherd-677077
M Siddharth,/cricketers/manimaran-siddharth-1151286
Yash Thakur,/cricketers/yash-thakur-1070196
AJ Turner,/cricketers/ashton-turner-500268
MP Yadav,/cricketers/mayank-yadav-1292563
Yudhvir Singh,/cricketers/yudhvir-singh-1206052
AN Ahmed,/cricketers/abu-nechim-228430
Anmolpreet Singh,/cricketers/anmolpreet-singh-851261
JC Archer,/cricketers/jofra-archer-669855
JP Behrendorff,/cricketers/jason-behrendorff-272477
STR Binny,/cricketers/stuart-binny-27223
AC Blizzard,/cricketers/aiden-blizzard-4498
D Brevis,/cricketers/dewald-brevis-1070665
JJ Bumrah,/cricketers/jasprit-bumrah-625383
JC Buttler,/cricketers/jos-buttler-308967
YS Chahal,/cricketers/yuzvendra-chahal-430246
G Coetzee,/cricketers/gerald-coetzee-596010
BCJ Cutting,/cricketers/ben-cutting-230371
A Dananjaya,/cricketers/akila-dananjaya-574178
TH David,/cricketers/tim-david-892749
BR Dunk,/cricketers/ben-dunk-388678
CRD Fernando,/cricketers/dilhara-fernando-48835
JEC Franklin,/cricketers/james-franklin-37004
S Gopal,/cricketers/shreyas-gopal-344580
R Goyal,/cricketers/raghav-goyal-1350770
C Green,/cricketers/cameron-green-1076713
DJ Jacobs,/cricketers/davy-jacobs-45782
D Jansen,/cricketers/duan-jansen-595954
M Jansen,/cricketers/marco-jansen-696401
ST Jayasuriya,/cricketers/sanath-jayasuriya-49209
A Kamboj,/cricketers/anshul-kamboj-1175428
K Kartikeya,/cricketers/kumar-kartikeya-1159843
MA Khote,/cricketers/musavir-khote-30220
SD Lad,/cricketers/siddhesh-lad-422342
RE Levi,/cricketers/richard-levi-46148
MJ McClenaghan,/cricketers/mitchell-mcclenaghan-319439
CJ McKay,/cricketers/clint-mckay-6903
C Madan,/cricketers/chandan-madan-31104
SL Malinga,/cricketers/lasith-malinga-49758
A Madhwal,/cricketers/akash-madhwal-1206039
KT Maphaka,/cricketers/kwena-maphaka-1294342
M Markande,/cricketers/mayank-markande-1081442
