player_id,player_name,country,played_international,bowling_style,batting_style,player_role
678,AM Salvi,India,2003 - 2003,Right arm Medium,Right hand Bat,Bowler
679,RR Bose,,,Right arm Fast medium,Right hand Bat,
680,SS Sarkar,India,,Right arm Medium,Right hand Bat,Bowler
681,RA Shaikh,,,Left arm Medium,Left hand Bat,
682,C Ganapathy,,,Right arm Medium,Right hand Bat,
683,MB Parmar,,,Right arm Offbreak,Right hand Bat,
684,AA Kazi,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
685,Anand Rajan,India,,Right arm Medium,Right hand Bat,Bowler
686,P Prasanth,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
687,SS Mundhe,India,,Right arm Medium,Right hand Bat,Allrounder
688,RW Price,Zimbabwe,1999 - 2013,Slow Left arm Orthodox,Right hand Bat,Bowler
689,TP Sudhindra,,,Right arm Fast,Left hand Bat,
690,BW Hilfenhaus,Australia,2007 - 2012,Right arm Fast medium,Right hand Bat,Bowler
691,P Suyal,India,,Left arm Medium,Right hand Bat,Bowler
692,MG Neser,Australia,2018 - 2023,Right arm Medium fast,Right hand Bat,Bowling Allrounder
693,K Santokie,West Indies,2011 - 2014,Left arm Medium,Left hand Bat,Bowler
694,JW Hastings,Australia,2010 - 2017,Right arm Fast medium,Right hand Bat,Allrounder
695,GS Sandhu,Australia,2015 - 2015,Right arm Fast medium,Left hand Bat,Bowler
696,SM Boland,Australia,2016 - 2025,Right arm Fast medium,Right hand Bat,Bowler
697,Tejas Baroka,India,,Legbreak Googly,Right hand Bat,Bowler
698,SS Agarwal,,,Legbreak Googly,Right hand Bat,
699,NB Singh,India,,Right arm Medium,Right hand Bat,Bowler
700,MJ Henry,New Zealand,2014 - 2025,Right arm Fast medium,Right hand Bat,Bowler
701,K Khejroliya,India,,Left arm Medium fast,Left hand Bat,Bowler
702,L Ngidi,South Africa,2017 - 2024,Right arm Fast medium,Right hand Bat,Bowler
703,CJ Dala,South Africa,2018 - 2021,Right arm Medium,Right hand Bat,Bowler
704,SC Kuggeleijn,New Zealand,2017 - 2024,Right arm Fast medium,Right hand Bat,Bowling Allrounder
705,S Midhun,India,,Legbreak Googly,Right hand Bat,Bowler
706,O Thomas,West Indies,2018 - 2024,Right arm Fast,Left hand Bat,Bowler
707,S Sandeep Warrier,India,2021 - 2021,Right arm Medium,Right hand Bat,Bowler
708,CJ Green,Australia,2023 - 2023,Right arm Offbreak,Right hand Bat,Bowling Allrounder
709,Monu Kumar,India,,Right arm Medium,Right hand Bat,Bowling Allrounder
710,LI Meriwala,India,,Left arm Fast medium,Left hand Bat,Bowler
711,Jalaj S Saxena,India,,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Allrounder
712,Akash Singh,India,,Left arm Medium fast,Right hand Bat,Bowler
713,IC Porel,India,,Right arm Medium,Right hand Bat,Bowler
714,PH Solanki,India,,Legbreak,Right hand Bat,Bowler
715,M Pathirana,Sri Lanka,2022 - 2024,Right arm Fast,Right hand Bat,Bowler
716,J Little,,,,,
717,RS Hangargekar,India,,Right arm Fast medium,Right hand Bat,Bowling Allrounder
718,NA Saini,India,2019 - 2021,Right arm Fast,Right hand Bat,Bowler
719,Yash Thakur,India,,Right arm Fast medium,Right hand Bat,Bowler
720,Suyash Sharma,India,,Legbreak Googly,Right hand Bat,Bowler
721,SSB Magala,South Africa,2021 - 2023,Right arm Fast medium,Right hand Bat,Bowler
722,D Jansen,South Africa,,Left arm Fast,Right hand Bat,Bowler
723,Gurnoor Brar,India,,Right arm Fast,Left hand Bat,Bowler
724,R Goyal,India,,Left arm Wrist spin,Left hand Bat,Bowler
725,H Sharma,India,,Legbreak,Right hand Bat,Bowler
726,N Burger,South Africa,2023 - 2024,Left arm Fast medium,Left hand Bat,Bowler
727,KT Maphaka,South Africa,2024 - 2025,Left arm Fast,Left hand Bat,Bowler
728,M Siddharth,India,,Slow Left arm Orthodox,Right hand Bat,Bowler
729,MP Yadav,India,2024 - 2024,Right arm Fast,Right hand Bat,Bowler
730,S Joseph,West Indies,2024 - 2024,Right arm Fast,Left hand Bat,Bowler
731,N Thushara,Sri Lanka,2022 - 2025,Right arm Medium fast,Right hand Bat,Bowler
732,V Kaverappa,India,,Right arm Fast medium,Right hand Bat,Bowler
